"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"CTA|SE","03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11042","n/e","9090","1521","n/e","n/e","n/e","n/e","2110"
"CTA|SE","03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10668","n/e","9092","1464","n/e","n/e","n/e","n/e","2236"
"CTA|SE","03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10422","n/e","9091","1402","n/e","n/e","n/e","n/e","2325"
"CTA|SE","03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10055","n/e","9092","1389","n/e","n/e","n/e","n/e","2622"
"CTA|SE","03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10029","n/e","9095","1390","n/e","n/e","n/e","n/e","2756"
"CTA|SE","03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10113","n/e","9093","1432","n/e","n/e","n/e","n/e","3239"
"CTA|SE","03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10238","n/e","9093","1417","n/e","n/e","n/e","n/e","3581"
"CTA|SE","03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10232","n/e","9100","1426","n/e","n/e","n/e","n/e","3682"
"CTA|SE","03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9333","n/e","9116","1416","n/e","n/e","n/e","n/e","3937"
"CTA|SE","03.01.2017 19:00 - 03.01.2017 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8072","n/e","9113","1437","n/e","n/e","n/e","n/e","4052"
"CTA|SE","03.01.2017 20:00 - 03.01.2017 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6464","n/e","9114","1431","n/e","n/e","n/e","n/e","4103"
"CTA|SE","03.01.2017 21:00 - 03.01.2017 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5110","n/e","9117","1383","n/e","n/e","n/e","n/e","4121"
"CTA|SE","03.01.2017 22:00 - 03.01.2017 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4467","n/e","9115","1413","n/e","n/e","n/e","n/e","4203"
"CTA|SE","03.01.2017 23:00 - 04.01.2017 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4017","n/e","9118","1440","n/e","n/e","n/e","n/e","4121"
"CTA|SE","04.01.2017 00:00 - 04.01.2017 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3792","n/e","9124","1418","n/e","n/e","n/e","n/e","4046"
"CTA|SE","04.01.2017 01:00 - 04.01.2017 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3666","n/e","9124","1399","n/e","n/e","n/e","n/e","4223"
"CTA|SE","04.01.2017 02:00 - 04.01.2017 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3702","n/e","9125","1376","n/e","n/e","n/e","n/e","4325"
"CTA|SE","04.01.2017 03:00 - 04.01.2017 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3677","n/e","9126","1385","n/e","n/e","n/e","n/e","4312"
"CTA|SE","04.01.2017 04:00 - 04.01.2017 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3844","n/e","9123","1417","n/e","n/e","n/e","n/e","4179"
"CTA|SE","04.01.2017 05:00 - 04.01.2017 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4323","n/e","9121","1447","n/e","n/e","n/e","n/e","4083"
"CTA|SE","04.01.2017 06:00 - 04.01.2017 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5482","n/e","9121","1468","n/e","n/e","n/e","n/e","4053"
"CTA|SE","04.01.2017 07:00 - 04.01.2017 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6796","n/e","9115","1489","n/e","n/e","n/e","n/e","3949"
"CTA|SE","04.01.2017 08:00 - 04.01.2017 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7416","n/e","9115","1511","n/e","n/e","n/e","n/e","3902"
"CTA|SE","04.01.2017 09:00 - 04.01.2017 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8413","n/e","9109","1524","n/e","n/e","n/e","n/e","3784"
"CTA|SE","04.01.2017 10:00 - 04.01.2017 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8778","n/e","9110","1538","n/e","n/e","n/e","n/e","3620"
"CTA|SE","04.01.2017 11:00 - 04.01.2017 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9022","n/e","9109","1517","n/e","n/e","n/e","n/e","3551"
"CTA|SE","04.01.2017 12:00 - 04.01.2017 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9228","n/e","9107","1535","n/e","n/e","n/e","n/e","3393"
"CTA|SE","04.01.2017 13:00 - 04.01.2017 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9280","n/e","9106","1542","n/e","n/e","n/e","n/e","3276"
"CTA|SE","04.01.2017 14:00 - 04.01.2017 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9768","n/e","9107","1479","n/e","n/e","n/e","n/e","3137"
"CTA|SE","04.01.2017 15:00 - 04.01.2017 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10692","n/e","9106","1480","n/e","n/e","n/e","n/e","3154"
"CTA|SE","04.01.2017 16:00 - 04.01.2017 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11198","n/e","9106","1469","n/e","n/e","n/e","n/e","3160"
"CTA|SE","04.01.2017 17:00 - 04.01.2017 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11417","n/e","9106","1490","n/e","n/e","n/e","n/e","3149"
"CTA|SE","04.01.2017 18:00 - 04.01.2017 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10981","n/e","9104","1479","n/e","n/e","n/e","n/e","3132"
"CTA|SE","04.01.2017 19:00 - 04.01.2017 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10395","n/e","9106","1479","n/e","n/e","n/e","n/e","2987"
"CTA|SE","04.01.2017 20:00 - 04.01.2017 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8921","n/e","9107","1434","n/e","n/e","n/e","n/e","2939"
"CTA|SE","04.01.2017 21:00 - 04.01.2017 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7558","n/e","9109","1442","n/e","n/e","n/e","n/e","2821"
"CTA|SE","04.01.2017 22:00 - 04.01.2017 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6456","n/e","9112","1437","n/e","n/e","n/e","n/e","2688"
"CTA|SE","04.01.2017 23:00 - 05.01.2017 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5617","n/e","9111","1447","n/e","n/e","n/e","n/e","2626"
"CTA|SE","05.01.2017 00:00 - 05.01.2017 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5111","n/e","9111","1471","n/e","n/e","n/e","n/e","2595"
"CTA|SE","05.01.2017 01:00 - 05.01.2017 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5064","n/e","9113","1476","n/e","n/e","n/e","n/e","2615"
"CTA|SE","05.01.2017 02:00 - 05.01.2017 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5115","n/e","9114","1487","n/e","n/e","n/e","n/e","2570"
